Title,Author,URL,Summary
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,https://www.goodreads.com/book/show/23129659-adult-children-of-emotionally-immature-parents,"If you grew up with an emotionally immature, unavailable, or selfish parent, you may have lingering feelings of anger, loneliness, betrayal, or abandonment. You may recall your childhood as a time when your emotional needs were not met, when your feelings were dismissed, or when you took on adult levels of responsibility in an effort to compensate for your parent’s behavior. These woundscanbe healed, and youcanmove forward in your life.In this breakthrough book, clinical psychologist Lindsay Gibson exposes the destructive nature of parents who are emotionally immature or unavailable. You will see how these parents create a sense of neglect, and discover ways to heal from the pain and confusion caused by your childhood.By freeing yourself from your parents’ emotional immaturity, you can recover your true nature, control how you react to them, and avoid disappointment. Finally, you’ll learn how to create positive, new relationships so you can build a better life.Discover the four types of difficult parents:The emotional parentinstills feelings of instability and anxietyThe driven parentstays busy trying to perfect everything and everyoneThe passive parentavoids dealing with anything upsettingThe rejecting parentis withdrawn, dismissive, and derogatory"
Agnosticism,Robin Le Poidevin,https://www.goodreads.com/book/show/8151688-agnosticism?from_search=true&from_srp=true&qid=AWgrMCtu1B&rank=1,"What is agnosticism? Is it a belief, or merely the absence of belief? Is it the result of too little thought about an issue--or too much? Who were the first to call themselves ""agnostics""? Does agnosticism deserve serious consideration today? Can an agnostic live a religious life? What place should agnosticism have in education? These are just some of the questions that Robin Le Poidevin considers in this Very Short Introduction , as he sets the philosophical case for agnosticism and explores it as a historical and cultural phenomenon. Agnosticism emerges here as a much more sophisticated, and much more interesting, attitude than a simple failure to either commit to, or reject, religious belief. Le Poidevin challenges the common wisdom about agnosticism among both believers and atheists, and invites the reader to rethink their own position on the issues. Indeed, in arguing in favor of agnosticism as a respectable position to take, this stimulating and provocative guide takes issueon many points with the assertions of prominent atheists such as Richard Dawkins."
All Quiet on the Western Front,Erich Maria Remarque,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front?ac=1&from_search=true&qid=Va5hk9L852&rank=1,"One by one the boys begin to fall…In 1914 a room full of German schoolboys, fresh-faced and idealistic, are goaded by their schoolmaster to troop off to the ‘glorious war’. With the fire and patriotism of youth they sign up. What follows is the moving story of a young ‘unknown soldier’ experiencing the horror and disillusionment of life in the trenches."
Animal Farm,George Orwell,https://www.goodreads.com/book/show/7613.Animal_Farm,"Animal Farm is an allegorical novella by George Orwell.The book tells the story of a group of farm animals who rebel against their human farmer, hoping to create a society where the animals can be equal, free, and happy. Ultimately, however, the rebellion is betrayed, and the farm ends up in a state as bad as it was before, under the dictatorship of a pig named Napoleon.One night, all the animals at Mr. Jones' Manor Farm assemble in a barn to hear old Major, a pig, describe a dream he had about a world where all animals live free from the tyranny of their human masters. Old Major dies soon after the meeting, but the animals — inspired by his philosophy of Animalism — plot a rebellion against Jones.Two pigs, Snowball and Napoleon, prove themselves important figures and planners of this dangerous enterprise. When Jones forgets to feed the animals, the revolution occurs, and Jones and his men are chased off the farm. Manor Farm is renamed Animal Farm, and the Seven Commandments of Animalism are painted on the barn wall..."
ANTITHESIS,Benz Ali,https://www.goodreads.com/book/show/23381639-antithesis,"I AM A NONCONFORMIST, THEREFORE I EXIST. That person criticizes issues, criticizes problems; confront the issue, confront what has been thrown out there. Views against views. Writings against writings. That�s all. No need to resort to threats or anything."
Before I Die,Candy Chang,https://www.goodreads.com/book/show/17450497-before-i-die,"After losing someone she loved, artist Candy Chang painted the side of an abandoned house in her New Orleans neighborhood with chalkboard paint and stenciled the sentence, ""Before I die I want to _____."" Within a day of the wall's completion, it was covered in colorful chalk dreams as neighbors stopped and reflected on their lives. Since then, more than four hundred Before I Die walls have been created by people all over the world. This beautiful hardcover book is an inspiring celebration of these walls and the stories behind them. Filled with hope, fear, humor, and heartbreak, Before I Die presents an intimate portrait of the dreams within our communities and a chance to ponder life's ultimate question."
Candide,Voltaire,https://www.goodreads.com/book/show/19380.Candide,"Candideis the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" On the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. Fast, funny, often outrageous, the French philosopher's immortal narrative takes Candide around the world to discover that -- contrary to the teachings of his distinguished tutor Dr. Pangloss -- all is not always for the best. Alive with wit, brilliance, and graceful storytelling,Candidehas become Voltaire's most celebrated work."
Civilization,Clive  Bell,https://www.goodreads.com/book/show/18341588-civilization,"Clive Bell's essay inquires as to what the term civilization means or should mean, tracing the concept through history and up to the period just after WW1."
Civilization and Its Discontents,Sigmund Freud,https://www.goodreads.com/book/show/357636.Civilization_and_Its_Discontents,"It stands as a brilliant summary of the views on culture from a psychoanalytic perspective that he had been developing since the turn of the century. It is both witness and tribute to the late theory of mind—the so-called structural theory, with its stress on aggression, indeed the death drive, as the pitiless adversary of eros.Civilization and Its Discontentsis one of the last of Freud's books, written in the decade before his death and first published in German in 1929. In it he states his views on the broad question of man's place in the world, a place Freud defines in terms of ceaseless conflict between the individual's quest for freedom and society's demand for conformity.Freud's theme is that what works for civilization doesn't necessarily work for man. Man, by nature aggressive and egotistical, seeks self-satisfaction. But culture inhibits his instinctual drives. The result is a pervasive and familiar guilt.Of the various English translations of Freud's major works to appear in his lifetime, only one was authorized by Freud himself:The Standard Edition of the Complete Psychological Works of Sigmund Freudunder the general editorship of James Strachey.Freud approved the overall editorial plan, specific renderings of key words and phrases, and the addition of valuable notes, from bibliographical and explanatory. Many of the translations were done by Strachey himself; the rest were prepared under his supervision. The result was to place theStandard Editionin a position of unquestioned supremacy over all other existing versions."
Conversations on Consciousness,Susan Blackmore,https://www.goodreads.com/book/show/254499.Conversations_on_Consciousness,"In Conversations on Consciousness, Susan Blackmore interviews some of the great minds of our time, a who's who of eminent thinkers, all of whom have devoted much of their lives to understanding the concept of consciousness.The interviewees, ranging from major philosophers to renowned scientists, talk candidly with Blackmore about some of the key philosophical issues confronting us in a series of conversations that are revealing, insightful, and stimulating.They ruminate on the nature of consciousness (is it something apart from the brain?) and discuss if it is even possible to understand the human mind. Some of these thinkers say no, but most believe that we will pierce the mystery surrounding consciousness, and that neuroscience will provide the key. Blackmore goes beyond the issue of consciousness to ask other intriguing questions: Is there free will? (A question which yields many conflicted replies, with most saying yes and no.) If not, how does this effect the way you live your life; and more broadly, how has your work changed the way you live?Paired with an introduction and extensive glossary that provide helpful background information, these provocative conversations illuminate how some of the greatest minds tackle some of the most difficult questions about human nature."
Crime and Punishment,Fyodor Dostoevsky,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden sex worker, can offer the chance of redemption."
Double Entry,Jane Gleeson-White,https://www.goodreads.com/book/show/13136518-double-entry?ref=nav_sb_ss_1_18,"Filled with colorful characters and history, Double Entry takes us from the ancient origins of accounting in Mesopotamia to the frontiers of modern finance. At the heart of the story is double-entry bookkeeping: the first system that allowed merchants to actually measure the worth of their businesses. Luca Pacioli―monk, mathematician, alchemist, and friend of Leonardo da Vinci―incorporated Arabic mathematics to formulate a system that could work across all trades and nations. As Jane Gleeson-White reveals, double-entry accounting was nothing short of revolutionary: it fueled the Renaissance, enabled capitalism to flourish, and created the global economy. John Maynard Keynes would use it to calculate GDP, the measure of a nation’s wealth. Yet double-entry accounting has had its failures. With the costs of sudden corporate collapses such as Enron and Lehman Brothers, and its disregard of environmental and human costs, the time may have come to re-create it for the future."
Economics: The User's Guide,Ha-Joon Chang,https://www.goodreads.com/book/show/20613671-economics,"In his bestselling23 Things They Don't Tell You About Capitalism, Cambridge economist Ha-Joon Chang brilliantly debunked many of the predominant myths of neoclassical economics. Now, in an entertaining and accessible primer, he explains how the global economy actually works—in real-world terms. Writing with irreverent wit, a deep knowledge of history, and a disregard for conventional economic pieties, Chang offers insights that will never be found in the textbooks.Unlike many economists, who present only one view of their discipline, Chang introduces a wide range of economic theories, from classical to Keynesian, revealing how each has its strengths and weaknesses, and why  there is no one way to explain economic behavior. Instead, by ignoring the received wisdom and exposing the myriad forces that shape our financial world, Chang gives us the tools we need to understand our increasingly global and interconnected world often driven by economics. From the future of the Euro, inequality in China, or the condition of the American manufacturing industry here in the United States—Economics: The User’s Guideis a concise and expertly crafted guide to economic fundamentals that offers a clear and accurate picture of the global economy and how and why it affects our daily lives."
Educated,Tara Westover,https://www.goodreads.com/book/show/35133922-educated,"Tara Westover was 17 the first time she set foot in a classroom. Born to survivalists in the mountains of Idaho, she prepared for the end of the world by stockpiling home-canned peaches and sleeping with her ""head-for-the-hills bag"". In the summer she stewed herbs for her mother, a midwife and healer, and in the winter she salvaged in her father's junkyard.Her father forbade hospitals, so Tara never saw a doctor or nurse. Gashes and concussions, even burns from explosions, were all treated at home with herbalism. The family was so isolated from mainstream society that there was no one to ensure the children received an education and no one to intervene when one of Tara's older brothers became violent.Then, lacking any formal education, Tara began to educate herself. She taught herself enough mathematics and grammar to be admitted to Brigham Young University, where she studied history, learning for the first time about important world events like the Holocaust and the civil rights movement. Her quest for knowledge transformed her, taking her over oceans and across continents, to Harvard and to Cambridge. Only then would she wonder if she'd traveled too far, if there was still a way home.Educatedis an account of the struggle for self-invention. It is a tale of fierce family loyalty and of the grief that comes with severing the closest of ties. With the acute insight that distinguishes all great writers, Westover has crafted a universal coming-of-age story that gets to the heart of what an education is and what it offers: the perspective to see one's life through new eyes and the will to change it."
Economix: How and Why Our Economy Works,Michael    Goodwin,https://www.goodreads.com/book/show/13591145-economix,"Stimulus plans: good or bad? Free markets: How free are they? Jobs: Can we afford them? Occupy Wall Street . . . worldwideEverybody's talking about the economy, but how can we, the people, understand what Wall Street or Washington knows--or say they know? Read ""Economix.""With clear, witty writing and quirky, accessible art, this important and timely graphic novel transforms ""the dismal science"" of economics into a fun, fact-filled story about human nature and our attempts to make the most of what we've got . . . and sometimes what our neighbors have got. ""Economix ""explains it all, from the beginning of Western economic thought, to markets free and otherwise, to economic failures, successes, limitations, and future possibilities. It's the essential, accessible guide to understanding the economy and economic practices. A must-read for every citizen and every voter.PRAISE FOR ""ECONOMIX""""It's simply phenomenal. You could read ten books on the subject and not glean as much information.""-- David Bach founder of FinishRich Media; author of nine ""New York Times"" bestsellers, including ""Debt Free for Life"" and ""The Automatic Millionaire"" ""Goodwin has done the seemingly impossible--he has made economics comprehensible ""and"" funny.""-- Joel Bakan, author of ""The Corporation"" ""The Pathological Pursuit of Profit and Power"" ""An amazing lesson in true-world economics Delightfully presented, powerful, insightful, and important information What a fun way to fathom a deep and often dark subject ""-- John Perkins, author of ""Hoodwinked"" and the ""New York Times"" bestseller ""Confessions of an Economic Hit Man"" ""Smart, insightful, clear, and as close to the truth as economics can get. The bonus: Who would have guessed that economics could be fun, and--here's the joy--really accessible? Goodwin roots us in history and fills us with common sense understanding. As he puts it early on, economics seems horribly complicated mostly because we're looking at it all at once. Broken down into its component pieces, it's relatively easy to understand. And a good understanding of economics is critical to maneuvering in the world today. If I were compiling a list of the 100 most important books you can read in a lifetime, this would be on it.""--Stephen Petranek, editor-in-chief, Weider History magazines, former editor-in-chief of ""Discover"" magazine ""Through a potent mix of comics and punchy, concise, accessible prose, Goodwin takes us on a provocative, exhaustively researched, and exceedingly engaging trip through our history and present day, creating an alternately hilarious and scary picture of where we are today as an economy-- and what it all means. More than that, Goodwin makes the arcane, understandable. If your mind either spins or slumbers at the thought of economics, read Goodwin's ""Economix"" and all will become clear. --Nomi Prins, author of ""It Takes a Pillage: An Epic Tale of Power, Deceit, and Untold Trillions"" """"Economix"" is a lively, cheerfully opinionated romp through the historical and intellectual foundations of our current economy and our current economic problems. Goodwin has a knack for distilling complex ideas and events in ways that invite the reader to follow the big picture without losing track of what actually happened. Any reader wondering how our economy got to where it is today will find this a refreshing overview.""--Timothy W. Guinnane, Philip Golden Bartlett Professor of Economic History, Yale University"
Event,Slavoj Zizek,https://www.goodreads.com/book/show/18273650-event,"Probably the most famous living philosopher, Slavoj Žižek explores the concept of 'event', in the second in this new series of easily digestible philosophyWhat is really happening when something happens?In the second in a new series of accessible, commute-length books of original thought, Slavoj Žižek, one of the world's greatest living philosophers, examines the new and highly-contested concept of Event.An Event can be an occurrence that shatters ordinary life, a radical political rupture, a transformation of reality, a religious belief, the rise of a new art form, or an intense experience such as falling in love. Taking us on a trip which stops at different definitions of Event, Žižek addresses fundamental questions such as: are all things connected? How much are we agents of our own fates? Which conditions must be met for us to perceive something as really existing? In a world that's constantly changing, is anything new really happening? Drawing on references from Plato to arthouse cinema, the Big Bang to Buddhism,Eventis a journey into philosophy at its most exciting and elementary."
Evolution the Human Story,Alice Roberts,https://www.goodreads.com/book/show/11374533-evolution-the-human-story,"A unique visual guide to human evolution that brings you face to face with our ancient ancestors.Illustrated throughout with amazingly realistic model reconstructions by world-renowned Dutch paleoartists Kennis and Kennis.Draws on cutting-edge research and the latest theories to explain the science, explore our relationship to other primates, and chart our journey out of Africa to colonize and settle the world."
F**K It Therapy,John C. Parkin,https://www.goodreads.com/book/show/13587518-f-k-it-therapy,"If everyone learned to use this expression in the right, liberating, and non-aggressive way, there would probably be fewer doctors, fewer psychologists, and, why not?, the world would be better: less stress, less tension, more lightness, and more harmony. How many times have we unnecessarily wrapped our heads in worries, gotten lost in a glass of water, exaggerated trivial problems, or been assaulted by unfounded anxieties or fears? Too many times. Instead, we should learn to give the right weight to things. Those who have experienced dramatic events know this well: getting upset over the small ""troubles"" of everyday life makes no sense; it only poisons our lives. This is the liberating message that John Parkin and Gaia Pollini want to convey with their book, which, rich in suggestions, practical examples, and techniques to try immediately, will guide us on a new path to learn to appreciate life in every moment for what it is, not for how we wish it to be."
Free Will,Sam Harris,https://www.goodreads.com/book/show/13259270-free-will,"Belief in free will touches nearly everything that human beings value. It is difficult to think about law, politics, religion, public policy, intimate relationships, morality—as well as feelings of remorse or personal achievement—without first imagining that every person is the true source of his or her thoughts and actions. And yet the facts tell us that free will is an illusion.In this enlightening book, Sam Harris argues that this truth about the human mind does not undermine morality or diminish the importance of social and political freedom, but it can and should change the way we think about some of the most important questions in life."
Freud for Beginners,Richard Appignanesi,https://www.goodreads.com/book/show/85412.Freud_for_Beginners,"The Beginner Books -- ""Their cartoon format and irreverent wit make difficult ideas accessible and entertaining."" -- NewsdayEverything you need to know about neurosis, libido, ego, and id -- but somehow it slipped your mind.Freud for Beginners is a perfect introduction to the life and thought of the man whose discovery of psychoanalysis revolutionized our attitudes towards mental illness, religion, sex, and culture. This documentary cartoon book plunges us into the world of late-nineteenth-century Vienna in which Freud grew up. We explore his early background in science, his work as a therapist, his encounter with cocaine, and his theories on the unconscious, dreams, the Oedipus Complex, and sexuality.We meet his family, his friend and enemies, and his patients -- The Rat Man, Anna O., Little Hans -- and we get an insider's view as the psychoanalytic movement is launched. The zany art and probing text do an extraordinary job of simplifying Freud without trivializing him."
Freud Verbatim,Sigmund Freud,https://www.goodreads.com/book/show/20821440-freud-verbatim,"Sigmund Freud has inspired more fascination and controversy than any other intellectual in history. Despite the intense opposition he encountered during his life, this “explorer of the unconscious” exerted an irresistibly stimulating effect on contemporary thought. As the founder of psychoanalysis and the creator of such commonly used terms as ego, superego, and id, Freud has had an unrivaled impact on the modern world.Freud Verbatimis a collection of quotes, maxims, observations, and witticisms by Freud on subjects ranging from politics and religion to love and sex. In addition to assembling passages from Freud’s major works, this collection also makes use of personal letters to his friends and family. Organized into ten thematic chapters, this compilation, in a handsome two-color printed format, provides a representative look into all of Freud’s work. Thus the quote, by its nature only a part, nonetheless speaks for the whole."
Freudian Slips,Joel Levy,https://www.goodreads.com/book/show/18688863-freudian-slips,"From brainwashing to behaviourism, déjà Vu to dreams, the placebo effect to psychosis, this book takes you on a journey through the workings of the human psyche. Exploring all the main theories, it provides potted biographies of key practitioners, and explains in simple terms the most important theories and experiments.Clear, concise and easily understood, ""Freudian Slips"" will help readers to better comprehend their own personalities, and the way in which we interact with the world around us."
God Is Not Great,Christopher Hitchens,https://www.goodreads.com/book/show/43369.God_Is_Not_Great,"God Is Not Great makes the ultimate case against religion. In a series of acute readings of the major religious texts, Christopher Hitchens demonstrates the ways in which religion is man-made, dangerously sexually repressive, and distorts the very origins of the cosmos. Above all, Hitchens argues that the concept of an omniscient God has profoundly damaged humanity, and proposes that the world might be a great deal better off without ""him."""
Hadith: A Re-evaluation,Kassim Ahmad,https://www.goodreads.com/book/show/3238261-hadith,"The main thesis of the book is that Hadith has been compiled without permission, either from the prophet, or from the four Righteous Caliphs for fear of confusing it with the Quran, the first source of Islam. Because of the power struggles between different political factions, each pretender legitimized his claim by recourse to a saying of Prophet Muhammad in his favor. Pious Muslims such as Bukhari and Muslim tried to collect these sayings after verifying their authenticity."
Humans of New York: Stories,Brandon Stanton,https://www.goodreads.com/book/show/24019187-humans-of-new-york,"In the summer of 2010, photographer Brandon Stanton began an ambitious project -to single-handedly create a photographic census of New York City. The photos he took and the accompanying interviews became the blogHumans of New York. In the first three years, his audience steadily grew from a few hundred to over one million. In 2013, his bookHumans of New York, based on that blog, was published and immediately catapulted to the top of the NY Times Bestseller List. It has appeared on that list for over twenty-five weeks to date. The appeal ofHONYhas been so great that in the course of the next year Brandon's following increased tenfold to, now, over 12 million followers on Facebook. In the summer of 2014, the UN chose him to travel around the world on a goodwill mission that had followers meeting people from Iraq to Ukraine to Mexico City via the photos he took.Now, Brandon is back with the follow up toHumans of New Yorkthat his loyal followers have been waiting for:Humans of New York: Stories. Ever since Brandon began interviewing people on the streets of NY, the dialogue he's had with them has increasingly become as in-depth, intriguing, and moving as the photos themselves.Humans of New York: Storiespresents a whole new group of humans, complete with stories that delve deeper and surprise with greater candour."
Humblebrag: The Art of False Modesty,Harris Wittels,https://www.goodreads.com/book/show/13529090-humblebrag,"From comedian and writer (Parks and Recreation, Eastbound & Down) Harris Wittels comes a hysterical breakdown of boasts, brags, and self-adulation disguised as humble comments and complaints-based on his popular @humblebrag Twitter feed.Something immediately annoyed Harris Wittels about Twitter. All of a sudden it was acceptable to brag, so long as those brags were ever-so-thinly disguised as transparent humility, such""Just filed my taxes. Biggie was right, mo money mo problems.""""I hate when I go into a store to get something to eat and the male staff are too busy hitting on me to get my order right :( so annoying!""Taking action by naming this phenomenon and creating the Twitter account called Humblebrag-dedicated solely to retweeting the humblebrags of others-Wittels's new word took the Internet by storm. Harris also shows readers what humblebrags might look like from some of history's most notable names, as well as devoting an entire chapter to a man who just might be the greatest humblebraggart of them all..."
I Know Why the Caged Bird Sings,Maya Angelou,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,"Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.Poetic and powerful,I Know Why the Caged Bird Singswill touch hearts and change minds for as long as people read."
